1663690375160|3|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists like_page CASCADE |     drop table if exists like_page CASCADE 
1663690375161|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists notification CASCADE |     drop table if exists notification CASCADE 
1663690375162|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists page CASCADE |     drop table if exists page CASCADE 
1663690375162|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists page_hashtag CASCADE |     drop table if exists page_hashtag CASCADE 
1663690375163|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists page_img_url CASCADE |     drop table if exists page_img_url CASCADE 
1663690375163|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists refresh_token CASCADE |     drop table if exists refresh_token CASCADE 
1663690375164|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists report_comment CASCADE |     drop table if exists report_comment CASCADE 
1663690375165|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists report_page CASCADE |     drop table if exists report_page CASCADE 
1663690375165|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists report_user CASCADE |     drop table if exists report_user CASCADE 
1663690375166|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists user_active CASCADE |     drop table if exists user_active CASCADE 
1663690375166|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists user_authority CASCADE |     drop table if exists user_authority CASCADE 
1663690375166|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists user_chat_room CASCADE |     drop table if exists user_chat_room CASCADE 
1663690375167|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists users CASCADE |     drop table if exists users CASCADE 
1663690648991|2|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists authority CASCADE |     drop table if exists authority CASCADE 
1663690648993|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists block CASCADE |     drop table if exists block CASCADE 
1663690648994|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists chat CASCADE |     drop table if exists chat CASCADE 
1663690648995|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists chat_img_url CASCADE |     drop table if exists chat_img_url CASCADE 
1663690648996|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists chat_room CASCADE |     drop table if exists chat_room CASCADE 
1663690648996|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists comment CASCADE |     drop table if exists comment CASCADE 
1663690648997|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists email_auth CASCADE |     drop table if exists email_auth CASCADE 
1663690648997|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists filter CASCADE |     drop table if exists filter CASCADE 
1663690648998|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists follow CASCADE |     drop table if exists follow CASCADE 
1663690648998|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists hashtag CASCADE |     drop table if exists hashtag CASCADE 
1663690648999|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists like_comment CASCADE |     drop table if exists like_comment CASCADE 
1663690648999|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists like_page CASCADE |     drop table if exists like_page CASCADE 
1663690648999|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists notification CASCADE |     drop table if exists notification CASCADE 
1663690649000|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists page CASCADE |     drop table if exists page CASCADE 
1663690649001|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists page_hashtag CASCADE |     drop table if exists page_hashtag CASCADE 
1663690649002|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists page_img_url CASCADE |     drop table if exists page_img_url CASCADE 
1663690649002|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists refresh_token CASCADE |     drop table if exists refresh_token CASCADE 
1663690649003|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists report_comment CASCADE |     drop table if exists report_comment CASCADE 
1663690649003|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists report_page CASCADE |     drop table if exists report_page CASCADE 
1663690649004|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists report_user CASCADE |     drop table if exists report_user CASCADE 
1663690649004|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists user_active CASCADE |     drop table if exists user_active CASCADE 
1663690649005|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists user_authority CASCADE |     drop table if exists user_authority CASCADE 
1663690649005|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists user_chat_room CASCADE |     drop table if exists user_chat_room CASCADE 
1663690649005|0|statement|connection 36|url jdbc:h2:mem:cbf5d57e-db04-4f3a-b600-a434a3cd08e9|     drop table if exists users CASCADE |     drop table if exists users CASCADE 
1663690742509|2|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists authority CASCADE |     drop table if exists authority CASCADE 
1663690742510|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists block CASCADE |     drop table if exists block CASCADE 
1663690742511|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists chat CASCADE |     drop table if exists chat CASCADE 
1663690742511|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists chat_img_url CASCADE |     drop table if exists chat_img_url CASCADE 
1663690742512|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists chat_room CASCADE |     drop table if exists chat_room CASCADE 
1663690742513|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists comment CASCADE |     drop table if exists comment CASCADE 
1663690742513|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists email_auth CASCADE |     drop table if exists email_auth CASCADE 
1663690742514|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists filter CASCADE |     drop table if exists filter CASCADE 
1663690742514|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists follow CASCADE |     drop table if exists follow CASCADE 
1663690742515|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists hashtag CASCADE |     drop table if exists hashtag CASCADE 
1663690742515|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists like_comment CASCADE |     drop table if exists like_comment CASCADE 
1663690742515|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists like_page CASCADE |     drop table if exists like_page CASCADE 
1663690742516|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists notification CASCADE |     drop table if exists notification CASCADE 
1663690742516|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists page CASCADE |     drop table if exists page CASCADE 
1663690742517|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists page_hashtag CASCADE |     drop table if exists page_hashtag CASCADE 
1663690742517|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists page_img_url CASCADE |     drop table if exists page_img_url CASCADE 
1663690742517|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists refresh_token CASCADE |     drop table if exists refresh_token CASCADE 
1663690742518|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists report_comment CASCADE |     drop table if exists report_comment CASCADE 
1663690742518|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists report_page CASCADE |     drop table if exists report_page CASCADE 
1663690742519|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists report_user CASCADE |     drop table if exists report_user CASCADE 
1663690742519|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists user_active CASCADE |     drop table if exists user_active CASCADE 
1663690742519|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists user_authority CASCADE |     drop table if exists user_authority CASCADE 
1663690742519|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists user_chat_room CASCADE |     drop table if exists user_chat_room CASCADE 
1663690742520|0|statement|connection 36|url jdbc:h2:mem:e73c0516-d483-491c-9dab-ca94c4a1f4ae|     drop table if exists users CASCADE |     drop table if exists users CASCADE 
1663690881402|1|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists authority CASCADE |     drop table if exists authority CASCADE 
1663690881403|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists block CASCADE |     drop table if exists block CASCADE 
1663690881404|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists chat CASCADE |     drop table if exists chat CASCADE 
1663690881404|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists chat_img_url CASCADE |     drop table if exists chat_img_url CASCADE 
1663690881405|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists chat_room CASCADE |     drop table if exists chat_room CASCADE 
1663690881405|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists comment CASCADE |     drop table if exists comment CASCADE 
1663690881406|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists email_auth CASCADE |     drop table if exists email_auth CASCADE 
1663690881407|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists filter CASCADE |     drop table if exists filter CASCADE 
1663690881407|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists follow CASCADE |     drop table if exists follow CASCADE 
1663690881408|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists hashtag CASCADE |     drop table if exists hashtag CASCADE 
1663690881408|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists like_comment CASCADE |     drop table if exists like_comment CASCADE 
1663690881408|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists like_page CASCADE |     drop table if exists like_page CASCADE 
1663690881409|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists notification CASCADE |     drop table if exists notification CASCADE 
1663690881409|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists page CASCADE |     drop table if exists page CASCADE 
1663690881409|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists page_hashtag CASCADE |     drop table if exists page_hashtag CASCADE 
1663690881409|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists page_img_url CASCADE |     drop table if exists page_img_url CASCADE 
1663690881410|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists refresh_token CASCADE |     drop table if exists refresh_token CASCADE 
1663690881410|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists report_comment CASCADE |     drop table if exists report_comment CASCADE 
1663690881410|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists report_page CASCADE |     drop table if exists report_page CASCADE 
1663690881410|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists report_user CASCADE |     drop table if exists report_user CASCADE 
1663690881411|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists user_active CASCADE |     drop table if exists user_active CASCADE 
1663690881411|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists user_authority CASCADE |     drop table if exists user_authority CASCADE 
1663690881411|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists user_chat_room CASCADE |     drop table if exists user_chat_room CASCADE 
1663690881411|0|statement|connection 36|url jdbc:h2:mem:0385eb21-8df8-4a50-8f45-1b85a9e0bf56|     drop table if exists users CASCADE |     drop table if exists users CASCADE 
1663830280844|2|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists authority CASCADE |     drop table if exists authority CASCADE 
1663830280848|1|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists block CASCADE |     drop table if exists block CASCADE 
1663830280849|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists chat CASCADE |     drop table if exists chat CASCADE 
1663830280851|1|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists chat_img_url CASCADE |     drop table if exists chat_img_url CASCADE 
1663830280852|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists chat_room CASCADE |     drop table if exists chat_room CASCADE 
1663830280852|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists comment CASCADE |     drop table if exists comment CASCADE 
1663830280853|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists email_auth CASCADE |     drop table if exists email_auth CASCADE 
1663830280853|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists filter CASCADE |     drop table if exists filter CASCADE 
1663830280855|1|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists follow CASCADE |     drop table if exists follow CASCADE 
1663830280873|5|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists hashtag CASCADE |     drop table if exists hashtag CASCADE 
1663830280877|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists like_comment CASCADE |     drop table if exists like_comment CASCADE 
1663830280880|1|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists like_page CASCADE |     drop table if exists like_page CASCADE 
1663830280881|1|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists notification CASCADE |     drop table if exists notification CASCADE 
1663830280883|1|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists page CASCADE |     drop table if exists page CASCADE 
1663830280885|1|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists page_hashtag CASCADE |     drop table if exists page_hashtag CASCADE 
1663830280887|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists page_img_url CASCADE |     drop table if exists page_img_url CASCADE 
1663830280887|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists refresh_token CASCADE |     drop table if exists refresh_token CASCADE 
1663830280887|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists report_comment CASCADE |     drop table if exists report_comment CASCADE 
1663830280888|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists report_page CASCADE |     drop table if exists report_page CASCADE 
1663830280890|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists report_user CASCADE |     drop table if exists report_user CASCADE 
1663830280891|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists user_active CASCADE |     drop table if exists user_active CASCADE 
1663830280892|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists user_authority CASCADE |     drop table if exists user_authority CASCADE 
1663830280894|1|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists user_chat_room CASCADE |     drop table if exists user_chat_room CASCADE 
1663830280895|0|statement|connection 37|url jdbc:h2:mem:445eb8c4-e1d2-42e5-af06-9eab8f9a5dc0|     drop table if exists users CASCADE |     drop table if exists users CASCADE 
